Refactoring Type,Source File,Model,Split,Pos Train,Neg Train,Accuracy,TN,TP,FN,FP,Model Params,Approach,Type Split,Type File,metric
Rename Package,count_PBS_all,RandomForest,0.2,5,10,0.964,93,100,0,7,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all,TP
Extract Method,count_PBS_single,RandomForest,0.5,49,31,0.631,55,71,29,45,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,PBS,single,Accuracy
Extract Method,count_PBS_single,RandomForest,0.5,49,31,0.631,55,71,29,45,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,PBS,single,TN
Extract Method,count_PBS_single,LogisticRegression,0.3,68,31,0.595,29,90,10,71,"[""{'C': 0.1, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single,TP
Inline Method,count_PBS_single,RandomForest,0.4,8,16,0.855,88,83,17,12,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,PBS,single,Accuracy
Inline Method,count_PBS_single,RandomForest,0.5,7,14,0.665,90,43,57,10,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 50}""]",count,PBS,single,TN
Inline Method,count_PBS_single,RandomForest,0.4,8,16,0.855,88,83,17,12,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,PBS,single,TP
Move Attribute,count_PBS_single,SVM,0.2,5,10,0.818,64,100,0,36,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'sigmoid'}""]",count,PBS,single,Accuracy
Move Attribute,count_PBS_single,RandomForest,0.2,5,10,0.701,90,50,50,10,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 50}""]",count,PBS,single,TN
Move Attribute,count_PBS_single,SVM,0.2,5,10,0.818,64,100,0,36,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'sigmoid'}""]",count,PBS,single,TP
Move Class,count_PBS_single,RandomForest,0.2,14,28,0.827,90,75,25,10,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,single,Accuracy
Move Class,count_PBS_single,RandomForest,0.5,9,18,0.579,94,22,78,6,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,single,TN
Move Class,count_PBS_single,RandomForest,0.2,14,28,0.827,90,75,25,10,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,single,TP
Extract Method,count_SMOTE_all,RandomForest,0.2,85,85,0.709,60,82,18,40,"[""{'max"", ""depth': 10, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",count,SMOTE,all,Accuracy
Extract Method,count_SMOTE_all,SVM,0.4,64,64,0.578,67,49,51,33,"[""{'C': 0.1, 'kernel': 'linear'}""]",count,SMOTE,all,TN
Extract Method,count_SMOTE_all,SVM,0.3,75,75,0.674,35,100,0,65,"[""{'C': 10, 'kernel': 'rbf'}""]",count,SMOTE,all,TP
Extract Superclass,count_SMOTE_all,SVM,0.2,139,139,0.65,80,50,50,20,"[""{'C': 10, 'kernel': 'rbf'}""]",count,SMOTE,all,Accuracy
Extract Superclass,count_SMOTE_all,RandomForest,0.2,139,139,0.457,91,0,100,9,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,SMOTE,all,TN
Extract Superclass,count_SMOTE_all,SVM,0.2,139,139,0.65,80,50,50,20,"[""{'C': 10, 'kernel': 'rbf'}""]",count,SMOTE,all,TP
Inline Method,count_SMOTE_all,LogisticRegression,0.2,132,132,0.775,88,67,33,12,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,SMOTE,all,Accuracy
Inline Method,count_SMOTE_all,RandomForest,0.4,99,99,0.713,93,50,50,7,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,SMOTE,all,TN
Inline Method,count_SMOTE_all,SVM,0.2,132,132,0.76,85,67,33,15,"[""{'C': 0.1, 'kernel': 'linear'}""]",count,SMOTE,all,TP
